customer_key,customer_name,industry,vertical,address,city,county,postcode
272,Jones Edwards Holdings,Construction,Enterprise,59 Victoria Road,Oxford,Oxfordshire,OX71 3NP
273,Davies Tech Partners,IT Reseller,Partner,183 Station Road,Liverpool,Merseyside,L11 7JE
274,Jackson Lewis Associates,Retail,SMB,24 High Street,Leeds,West Yorkshire,LS40 5RM
275,Thomas Davies Group,Financial Services,Enterprise,115 Market Street,Reading,Berkshire,RG72 2TP
276,Davies Clarke UK,Legal Services,Enterprise,153 The Green,Birmingham,West Midlands,B42 5NA
277,Belfast Council,Local Government,Public Sector,63 The Green,Southampton,Hampshire,SO67 7FY
278,Thomas Edwards Partners,Retail,Enterprise,127 Mill Lane,Sheffield,South Yorkshire,S9 5FP
279,Newcastle County Council,Local Government,Public Sector,93 Park Lane,Birmingham,West Midlands,B32 4XS
280,Wilson Thomas Partners,Charity,SMB,102 Victoria Road,London,Greater London,EC80 8NL
281,Martin Morgan Group,Transport & Logistics,SMB,83 The Green,Newcastle,Tyne and Wear,NE89 6GS
282,Wood Lewis Partners,Hospitality,SMB,148 Commerce Way,Oxford,Oxfordshire,OX32 5LN
283,Patel Communications Group,MSP,Partner,152 Market Street,Bristol,Avon,BS24 1YU
284,Robinson Cooper Partners,Charity,SMB,105 Business Park,Birmingham,West Midlands,B64 5EX
285,Hughes Johnson LLP,Manufacturing,SMB,97 Station Road,Reading,Berkshire,RG58 7WS
286,Moore Turner UK,Media & Entertainment,Enterprise,93 Innovation Drive,Manchester,Greater Manchester,M69 2WX
287,White Clarke Group,Financial Services,Enterprise,12 The Green,Coventry,West Midlands,CV83 7YX
288,Martin Wilson Ltd,Transport & Logistics,SMB,67 Church Road,Leeds,West Yorkshire,LS66 4TU
289,County Hospital NHS Trust,NHS Trust,Public Sector,119 Commerce Way,Belfast,Northern Ireland,BT87 9VZ
290,Clarke Jones Holdings,Retail,SMB,76 Queens Road,Leeds,West Yorkshire,LS11 6DE
291,Harris Hill Solutions,Construction,SMB,124 Victoria Road,Brighton,East Sussex,BN61 8DR
292,Taylor Hall Ltd,Construction,Enterprise,6 Enterprise Road,Leeds,West Yorkshire,LS44 3XD
293,Clark Walker UK,Manufacturing,SMB,85 Market Street,Edinburgh,Scotland,EH55 7RH
294,Walker Martin Services,Hospitality,SMB,189 The Green,London,Greater London,EC26 7RV
295,Smith Connect Ltd,IT Reseller,Partner,72 Commerce Way,Bristol,Avon,BS91 2CV
296,Walker Patel Associates,Media & Entertainment,Enterprise,118 Station Road,Bristol,Avon,BS34 9YS
297,Morgan Jackson International,Construction,Enterprise,151 Station Road,Belfast,Northern Ireland,BT45 3MR
298,Harrison Davies and Co,Construction,SMB,81 Station Road,Glasgow,Scotland,G31 3KD
299,Johnson Tech Partners,Telecommunications,Partner,153 Mill Lane,Reading,Berkshire,RG74 3NP
300,Lee Walker UK,Real Estate,Enterprise,126 Park Lane,Edinburgh,Scotland,EH18 8FL
301,Clarke Smith Holdings,Healthcare,Enterprise,50 Enterprise Road,Glasgow,Scotland,G50 8UT
302,Oxford County Council,Local Government,Public Sector,126 Mill Lane,Cambridge,Cambridgeshire,CB11 4VA
303,Williams Edwards Solutions,Professional Services,Enterprise,74 Mill Lane,Southampton,Hampshire,SO59 9VS
304,Evans Baker PLC,Insurance,Enterprise,199 Market Street,Sheffield,South Yorkshire,S47 8UB
305,Robinson Martin PLC,Media & Entertainment,Enterprise,77 Enterprise Road,Liverpool,Merseyside,L5 6RJ
306,Cooper Evans Solutions,Financial Services,SMB,189 The Green,Bristol,Avon,BS89 7MZ
307,Thomas Robinson Solutions,Retail,Enterprise,146 Victoria Road,Manchester,Greater Manchester,M69 9JW
308,Lewis Green Partners,Retail,Enterprise,69 Enterprise Road,Milton Keynes,Buckinghamshire,MK66 3YD
309,Manchester City Council,Local Government,Public Sector,180 Enterprise Road,Glasgow,Scotland,G17 6HE
310,Wood Morris Group,Manufacturing,SMB,162 Park Lane,Milton Keynes,Buckinghamshire,MK81 8PN
311,Davies Wood UK,Healthcare,Public Sector,178 Technology Park,Sheffield,South Yorkshire,S48 6RS
312,Davies Hill and Co,Legal Services,SMB,17 Commerce Way,Cardiff,Wales,CF69 7NG
313,Morris Edwards Associates,Technology,SMB,87 Market Street,Newcastle,Tyne and Wear,NE74 8EV
314,Brown Williams PLC,Transport & Logistics,SMB,5 Station Road,Cambridge,Cambridgeshire,CB21 1RR
315,Wright Thomas and Co,Central Government,Public Sector,41 Enterprise Road,Newcastle,Tyne and Wear,NE36 6CX
316,Davies Patel and Co,Manufacturing,Enterprise,14 Queens Road,Edinburgh,Scotland,EH81 4KZ
317,Davies Wilson Ltd,Central Government,Public Sector,123 Station Road,Bristol,Avon,BS17 9VH
318,Royal Hospital NHS Trust,NHS Trust,Public Sector,179 Victoria Road,London,Greater London,EC16 3PZ
319,Taylor Thompson Services,Real Estate,SMB,188 Commerce Way,Birmingham,West Midlands,B14 6DL
320,Thomas Jackson Group,Construction,SMB,18 Market Street,Glasgow,Scotland,G73 3AW
321,County Hospital NHS Trust,NHS Trust,Public Sector,161 Innovation Drive,Bristol,Avon,BS20 8PW
322,Davies Wilson Group,Technology,SMB,151 Innovation Drive,Leeds,West Yorkshire,LS50 6MP
323,University of Sheffield,Education,Enterprise,64 Market Street,Birmingham,West Midlands,B77 5WW
324,Hall Robinson UK,Legal Services,Enterprise,131 Church Road,Coventry,West Midlands,CV96 1NK
325,Morris Jackson PLC,Manufacturing,SMB,128 Business Park,Liverpool,Merseyside,L77 1CT
326,Lewis Telecom Partners,Telecommunications,Partner,108 Victoria Road,Milton Keynes,Buckinghamshire,MK70 8YF
327,Jones Harrison PLC,Healthcare,Public Sector,68 Church Road,London,Greater London,EC6 9BN
328,Moore Turner Services,Professional Services,Enterprise,22 Business Park,Belfast,Northern Ireland,BT69 3UW
329,Davies Hall PLC,Professional Services,SMB,53 Commerce Way,Brighton,East Sussex,BN20 7UL
330,Hall Martin LLP,Healthcare,Public Sector,15 Church Road,Liverpool,Merseyside,L12 8PD
331,Hall Walker PLC,Healthcare,Enterprise,182 Mill Lane,London,Greater London,EC90 8AF
332,Clark Clark LLP,Transport & Logistics,Enterprise,43 Victoria Road,Sheffield,South Yorkshire,S17 1JD
333,Martin Edwards UK,Transport & Logistics,SMB,68 Innovation Drive,Birmingham,West Midlands,B74 8XC
334,Moore Patel Ltd,Charity,SMB,146 Mill Lane,Oxford,Oxfordshire,OX48 2FJ
335,University of Brighton,Education,Public Sector,12 Enterprise Road,London,Greater London,EC2 8HB
336,Jackson Telecom Ltd,Telecommunications,Partner,142 Commerce Way,Manchester,Greater Manchester,M92 4XP
337,White Turner LLP,Construction,Enterprise,70 Enterprise Road,Nottingham,Nottinghamshire,NG10 2VM
338,Brown Walker Solutions,Insurance,Enterprise,12 Queens Road,Brighton,East Sussex,BN9 5RK
339,Davies King Holdings,Construction,Enterprise,95 Church Road,London,Greater London,EC38 4VK
340,Patel Harrison Holdings,Charity,SMB,188 Technology Park,Bristol,Avon,BS70 1HE
341,London Borough Council,Local Government,Public Sector,89 Business Park,Southampton,Hampshire,SO89 1AL
342,Hall Communications Ltd,IT Reseller,Partner,61 Queens Road,Brighton,East Sussex,BN63 5BE
343,Williams Thompson UK,Financial Services,SMB,180 Technology Park,Reading,Berkshire,RG48 2RC
344,Thomas Wood PLC,Insurance,Enterprise,146 High Street,Milton Keynes,Buckinghamshire,MK56 4YE
345,Hughes Lewis Services,Professional Services,Enterprise,82 Kings Road,Nottingham,Nottinghamshire,NG35 4HC
346,Academy of Leeds,Education,Enterprise,28 Mill Lane,Glasgow,Scotland,G58 7RL
347,Academy of Cardiff,Education,Public Sector,116 Park Lane,Bristol,Avon,BS60 2JD
348,Hall Morgan Ltd,Retail,Enterprise,84 Mill Lane,Bristol,Avon,BS12 6ZH
349,Moore Communications Group,MSP,Partner,67 Enterprise Road,Newcastle,Tyne and Wear,NE23 8AN
350,Wilson Hill PLC,Manufacturing,SMB,32 High Street,Glasgow,Scotland,G8 4HE
351,Patel Connect Group,MSP,Partner,150 The Green,Birmingham,West Midlands,B34 2CA
352,Cooper Thomas PLC,Hospitality,Enterprise,32 High Street,Nottingham,Nottinghamshire,NG60 7BF
353,Morris Communications Partners,MSP,Partner,45 Victoria Road,Reading,Berkshire,RG28 5FJ
354,City Hospital NHS Trust,NHS Trust,Public Sector,158 The Green,Manchester,Greater Manchester,M79 5HX
355,Turner King Holdings,Real Estate,Enterprise,23 Park Lane,Manchester,Greater Manchester,M50 4EP
356,White Lee Ltd,Recruitment,SMB,183 Victoria Road,Belfast,Northern Ireland,BT62 6US
357,Lewis Jackson Partners,Insurance,Enterprise,7 Victoria Road,Edinburgh,Scotland,EH77 5HA
358,Ward Clark Associates,Healthcare,Enterprise,60 Mill Lane,Milton Keynes,Buckinghamshire,MK13 4HY
359,Lee Brown Solutions,Professional Services,SMB,100 Victoria Road,Milton Keynes,Buckinghamshire,MK23 6FH
360,Harrison Jones LLP,Transport & Logistics,Enterprise,146 The Green,Cardiff,Wales,CF19 8VG
361,Hall Walker Holdings,Media & Entertainment,Enterprise,24 High Street,Manchester,Greater Manchester,M30 1WH
362,Ward Smith Associates,Recruitment,SMB,52 Commerce Way,Coventry,West Midlands,CV17 3LZ
363,Brown Jones Group,Construction,Enterprise,181 Technology Park,Milton Keynes,Buckinghamshire,MK19 6DT
364,Patel Wood International,Healthcare,Public Sector,87 Park Lane,Leeds,West Yorkshire,LS42 7EF
365,Lewis Walker LLP,Real Estate,Enterprise,178 Technology Park,Southampton,Hampshire,SO79 3MH
366,Hall Connect Group,IT Reseller,Partner,33 Mill Lane,Newcastle,Tyne and Wear,NE94 7AZ
367,Walker Morgan Associates,Healthcare,SMB,57 Business Park,Coventry,West Midlands,CV73 3DS
368,Taylor White Associates,Transport & Logistics,SMB,43 Business Park,Nottingham,Nottinghamshire,NG12 6ZY
369,Royal Hospital NHS Trust,NHS Trust,Public Sector,54 Church Road,Sheffield,South Yorkshire,S89 5CM
370,Smith Brown Services,Financial Services,Enterprise,188 Queens Road,Cambridge,Cambridgeshire,CB22 7PS
371,Lee Jackson PLC,Transport & Logistics,Enterprise,148 Business Park,Oxford,Oxfordshire,OX98 3YH
372,Royal Hospital NHS Trust,NHS Trust,Public Sector,76 High Street,Manchester,Greater Manchester,M41 2JD
373,Roberts Jackson Group,Transport & Logistics,SMB,141 Technology Park,Birmingham,West Midlands,B12 8LW
374,Martin Roberts International,Legal Services,Enterprise,41 High Street,Reading,Berkshire,RG13 4LG
375,Southampton City Council,Local Government,Public Sector,77 Church Road,Newcastle,Tyne and Wear,NE13 9BN
376,Johnson Brown Associates,Real Estate,Enterprise,110 Station Road,London,Greater London,EC38 8YX
377,Wilson Jones Solutions,Hospitality,Enterprise,164 Park Lane,Edinburgh,Scotland,EH11 5SD
378,Ward Networks Group,MSP,Partner,24 Business Park,Sheffield,South Yorkshire,S70 6NF
379,Patel Telecom Partners,IT Reseller,Partner,68 Kings Road,Manchester,Greater Manchester,M60 5JH
380,Johnson Wilson PLC,Healthcare,Enterprise,139 Queens Road,Cardiff,Wales,CF97 9VH
381,Jackson Clark Services,Healthcare,Enterprise,176 Enterprise Road,Southampton,Hampshire,SO61 8VH
382,Davies Wood LLP,Construction,SMB,129 The Green,Manchester,Greater Manchester,M67 3VY
383,College of Edinburgh,Education,Public Sector,55 Commerce Way,Edinburgh,Scotland,EH25 7EB
384,Martin Wright and Co,Financial Services,SMB,153 Park Lane,Glasgow,Scotland,G41 7CC
385,King IT Solutions Partners,MSP,Partner,118 Technology Park,Brighton,East Sussex,BN2 9ZW
386,Leeds County Council,Local Government,Public Sector,38 The Green,Glasgow,Scotland,G76 2VD
387,Green Lee Associates,Financial Services,Enterprise,68 Queens Road,Reading,Berkshire,RG84 8SV
388,Walker Edwards Services,Healthcare,SMB,159 The Green,Glasgow,Scotland,G88 1ZN
389,Harris Connect Ltd,MSP,Partner,191 Kings Road,Manchester,Greater Manchester,M35 6MA
390,Hall Edwards Holdings,Construction,SMB,59 Mill Lane,Leeds,West Yorkshire,LS39 5RL
391,Coventry Council,Local Government,Public Sector,114 Church Road,Bristol,Avon,BS53 6ST
392,Moore Roberts PLC,Healthcare,Enterprise,182 Market Street,Newcastle,Tyne and Wear,NE52 1ET
393,Wright Wright Ltd,Hospitality,SMB,9 Kings Road,Liverpool,Merseyside,L7 4MZ
394,Patel Hill UK,Professional Services,SMB,163 Technology Park,Belfast,Northern Ireland,BT16 4YA
395,Morris Tech Partners,Telecommunications,Partner,122 The Green,Edinburgh,Scotland,EH71 3MM
396,Davies Green Ltd,Manufacturing,Enterprise,13 Mill Lane,Belfast,Northern Ireland,BT74 4GH
397,Edwards Turner UK,Technology,SMB,200 Commerce Way,London,Greater London,EC88 3AS
398,Morgan Smith Solutions,Hospitality,SMB,156 Commerce Way,Sheffield,South Yorkshire,S40 5ZZ
399,Jackson Clarke Holdings,Central Government,Public Sector,56 Kings Road,Sheffield,South Yorkshire,S39 7YT
400,Smith Moore and Co,Financial Services,Enterprise,144 Business Park,Cardiff,Wales,CF77 5WK
401,Ward Taylor Associates,Financial Services,Enterprise,164 Victoria Road,Sheffield,South Yorkshire,S36 5JX
402,Johnson Clark Solutions,Hospitality,Enterprise,154 Queens Road,Manchester,Greater Manchester,M85 3LY
403,Morris Green Partners,Legal Services,Enterprise,104 Queens Road,Reading,Berkshire,RG95 4BV
404,Thompson Lee and Co,Transport & Logistics,SMB,172 Victoria Road,Oxford,Oxfordshire,OX65 9KF
405,Green Wilson Holdings,Hospitality,SMB,190 Park Lane,Glasgow,Scotland,G93 6UF
406,Thompson Clarke Solutions,Financial Services,SMB,108 Commerce Way,Newcastle,Tyne and Wear,NE43 5MJ
407,Evans Ward Ltd,Charity,SMB,149 The Green,Milton Keynes,Buckinghamshire,MK10 9SG
408,Academy of Belfast,Education,Public Sector,77 Queens Road,Brighton,East Sussex,BN7 4EE
409,Turner Baker Holdings,Transport & Logistics,SMB,81 Enterprise Road,Glasgow,Scotland,G92 8FC
410,Walker Lewis and Co,Transport & Logistics,SMB,2 Kings Road,Manchester,Greater Manchester,M36 3GF
411,Davies Thomas International,Real Estate,Enterprise,163 Queens Road,Reading,Berkshire,RG52 7PS
412,Williams Lee Solutions,Legal Services,SMB,4 Technology Park,Cardiff,Wales,CF42 1TG
413,White Thompson LLP,Legal Services,SMB,80 Mill Lane,Cardiff,Wales,CF14 5NT
414,Taylor Williams Partners,Retail,Enterprise,117 Innovation Drive,Newcastle,Tyne and Wear,NE67 6WT
415,Thomas Harris Holdings,Central Government,Public Sector,193 Church Road,Cardiff,Wales,CF22 4NA
416,Thomas Robinson LLP,Technology,Enterprise,151 Market Street,London,Greater London,EC22 1DM
417,Hughes Tech Group,IT Reseller,Partner,153 High Street,Manchester,Greater Manchester,M85 1DX
418,Evans Turner Holdings,Healthcare,Enterprise,32 Market Street,Belfast,Northern Ireland,BT33 3SZ
419,Smith Hall Services,Technology,SMB,170 Market Street,Leeds,West Yorkshire,LS35 3WW
420,Leeds Council,Local Government,Public Sector,30 Commerce Way,Newcastle,Tyne and Wear,NE14 4SG
421,Clark Wright Associates,Manufacturing,Enterprise,76 Mill Lane,Reading,Berkshire,RG6 4US
422,Harris White Ltd,Real Estate,SMB,172 Station Road,London,Greater London,EC15 8VY
423,Davies Moore PLC,Retail,SMB,66 Business Park,Leeds,West Yorkshire,LS30 5RK
424,Brown Wilson Group,Charity,SMB,75 Victoria Road,Manchester,Greater Manchester,M87 2LP
425,Williams Smith Group,Financial Services,Enterprise,85 Victoria Road,Edinburgh,Scotland,EH57 2WJ
426,Harris Telecom Ltd,Telecommunications,Partner,103 Kings Road,Belfast,Northern Ireland,BT35 8NZ
427,Edinburgh Council,Local Government,Public Sector,179 Innovation Drive,Glasgow,Scotland,G8 7FD
428,Baker Cooper Group,Real Estate,SMB,98 Commerce Way,Coventry,West Midlands,CV46 3WA
429,Morris Evans Services,Real Estate,SMB,12 Station Road,Cambridge,Cambridgeshire,CB34 1XL
430,Baker Baker Solutions,Recruitment,SMB,133 Market Street,Nottingham,Nottinghamshire,NG89 2ZW
431,White Ward Associates,Central Government,Public Sector,39 Enterprise Road,Belfast,Northern Ireland,BT72 1WB
432,Moore Ward Holdings,Retail,Enterprise,20 Commerce Way,Edinburgh,Scotland,EH63 6LH
433,Brown Moore Solutions,Professional Services,SMB,165 Queens Road,Southampton,Hampshire,SO52 8HC
434,University Hospital NHS Trust,NHS Trust,Public Sector,115 Station Road,Milton Keynes,Buckinghamshire,MK64 2RL
435,Jones Wilson Services,Real Estate,Enterprise,10 Market Street,Reading,Berkshire,RG71 5AC
436,King Robinson and Co,Insurance,Enterprise,88 Victoria Road,Cambridge,Cambridgeshire,CB7 6HR
437,Patel Cooper PLC,Real Estate,SMB,195 Business Park,Leeds,West Yorkshire,LS29 6AL
438,King Clark Associates,Professional Services,Enterprise,12 Technology Park,Leeds,West Yorkshire,LS22 7SE
439,Hughes Wright Solutions,Financial Services,Enterprise,101 Church Road,Leeds,West Yorkshire,LS59 6GZ
440,Turner Williams and Co,Financial Services,Enterprise,32 Commerce Way,Milton Keynes,Buckinghamshire,MK58 9RY
441,College of London,Education,Enterprise,189 High Street,Brighton,East Sussex,BN71 8PV
442,Walker Harrison Group,Insurance,Enterprise,27 Queens Road,Glasgow,Scotland,G85 6WW
443,Jackson Turner International,Insurance,Enterprise,71 Queens Road,Liverpool,Merseyside,L44 3KR
444,College of Coventry,Education,Enterprise,77 Enterprise Road,Brighton,East Sussex,BN90 9UL
445,Wright Robinson International,Technology,SMB,176 Victoria Road,Newcastle,Tyne and Wear,NE87 3EZ
446,Lee Lewis LLP,Insurance,Enterprise,195 Victoria Road,Leeds,West Yorkshire,LS72 7SV
447,Green Martin Ltd,Media & Entertainment,Enterprise,28 High Street,Brighton,East Sussex,BN49 1EB
448,Edwards Roberts Partners,Hospitality,Enterprise,38 Enterprise Road,Sheffield,South Yorkshire,S8 4ZK
449,Williams Clarke Holdings,Media & Entertainment,Enterprise,158 Enterprise Road,Leeds,West Yorkshire,LS87 9UH
450,White Tech Group,IT Reseller,Partner,178 Business Park,Newcastle,Tyne and Wear,NE7 7NN
451,King Brown Ltd,Construction,Enterprise,52 The Green,Sheffield,South Yorkshire,S57 6HX
452,Morgan Wright LLP,Media & Entertainment,Enterprise,76 Kings Road,Bristol,Avon,BS23 3YC
453,Moore Evans Services,Hospitality,SMB,110 Park Lane,Manchester,Greater Manchester,M72 3JE
454,Smith Harris Holdings,Manufacturing,Enterprise,11 Mill Lane,Glasgow,Scotland,G42 5WB
455,Baker King Associates,Real Estate,Enterprise,182 Victoria Road,Birmingham,West Midlands,B68 9HF
456,Moore Roberts Services,Healthcare,Public Sector,138 Queens Road,Southampton,Hampshire,SO12 4MH
457,Harris Patel Partners,Transport & Logistics,SMB,193 The Green,Bristol,Avon,BS68 1SU
458,Academy of Cardiff,Education,Public Sector,62 Technology Park,Cambridge,Cambridgeshire,CB83 4WW
459,Lewis Jackson PLC,Healthcare,SMB,66 Market Street,Belfast,Northern Ireland,BT93 9KA
460,Moore Tech Partners,Telecommunications,Partner,12 Park Lane,Oxford,Oxfordshire,OX84 9GL
461,Wilson Roberts UK,Financial Services,SMB,2 Business Park,Southampton,Hampshire,SO9 4GY
462,Wilson Robinson UK,Central Government,Public Sector,166 Enterprise Road,Reading,Berkshire,RG10 1YE
463,Harris Williams PLC,Charity,SMB,14 Mill Lane,Birmingham,West Midlands,B33 4UC
464,Turner Jackson Holdings,Manufacturing,Enterprise,111 Victoria Road,Belfast,Northern Ireland,BT3 2NY
465,Smith Taylor LLP,Media & Entertainment,Enterprise,12 Innovation Drive,Milton Keynes,Buckinghamshire,MK10 2MT
466,Hall Morgan PLC,Professional Services,Enterprise,196 Technology Park,Newcastle,Tyne and Wear,NE57 1NN
467,Roberts Lee Solutions,Real Estate,SMB,192 Queens Road,Glasgow,Scotland,G70 3KX
468,Patel Smith UK,Construction,SMB,37 Station Road,Southampton,Hampshire,SO6 7AV
469,King Davies Partners,Media & Entertainment,Enterprise,192 Innovation Drive,Bristol,Avon,BS93 7MG
470,Johnson Roberts Group,Insurance,Enterprise,158 Enterprise Road,Liverpool,Merseyside,L33 3GD
471,King Hill and Co,Healthcare,Enterprise,19 Park Lane,Southampton,Hampshire,SO86 2CJ
472,Harrison Morris Associates,Hospitality,Enterprise,33 Business Park,Cardiff,Wales,CF84 5HD
473,Wright Lewis Holdings,Healthcare,Public Sector,85 The Green,Cambridge,Cambridgeshire,CB85 3KZ
474,Lewis Networks Ltd,Telecommunications,Partner,81 Church Road,London,Greater London,EC29 7ZX
475,Patel Thomas and Co,Professional Services,SMB,123 Kings Road,Nottingham,Nottinghamshire,NG58 8MK
476,Walker Morgan PLC,Financial Services,Enterprise,36 Technology Park,Sheffield,South Yorkshire,S69 2GJ
477,Jones Moore and Co,Healthcare,Public Sector,149 The Green,London,Greater London,EC52 1VG
478,Lee Lee Holdings,Manufacturing,Enterprise,94 Queens Road,Glasgow,Scotland,G29 3VK
479,Moore Moore PLC,Charity,SMB,94 Market Street,Belfast,Northern Ireland,BT2 3YH
480,Thomas Cooper Group,Insurance,Enterprise,145 The Green,Edinburgh,Scotland,EH85 6ES
481,Thompson Morris Solutions,Healthcare,SMB,68 Victoria Road,Birmingham,West Midlands,B30 4BY
482,Patel Jackson Holdings,Recruitment,SMB,12 High Street,Cambridge,Cambridgeshire,CB84 9LD
483,Hughes Harrison UK,Professional Services,SMB,45 Queens Road,Milton Keynes,Buckinghamshire,MK84 2NM
484,Hughes Jackson Solutions,Recruitment,SMB,104 Victoria Road,Brighton,East Sussex,BN45 1SS
485,Thomas Cooper Group,Insurance,Enterprise,20 Market Street,Liverpool,Merseyside,L83 3JG
486,Roberts Patel International,Hospitality,SMB,170 Church Road,Leeds,West Yorkshire,LS54 8LD
487,Ward Robinson International,Real Estate,SMB,166 Enterprise Road,Edinburgh,Scotland,EH53 1AH
488,Academy of Milton Keynes,Education,Enterprise,35 Business Park,Edinburgh,Scotland,EH66 3BV
489,Roberts Hughes Group,Healthcare,Enterprise,104 The Green,Brighton,East Sussex,BN73 5XA
490,Robinson Cooper International,Financial Services,SMB,124 Mill Lane,Oxford,Oxfordshire,OX29 3PW
491,Moore Hughes Group,Hospitality,SMB,117 The Green,Nottingham,Nottinghamshire,NG76 7CH
492,Thomas Communications Ltd,IT Reseller,Partner,134 Enterprise Road,Bristol,Avon,BS65 3YP
493,Walker Ward International,Financial Services,Enterprise,10 Technology Park,Coventry,West Midlands,CV69 2TD
494,Thomas Morgan UK,Real Estate,SMB,199 Business Park,London,Greater London,EC84 7PT
495,Williams Connect Group,Telecommunications,Partner,59 Commerce Way,Reading,Berkshire,RG62 2NM
496,Thomas Hughes Holdings,Central Government,Public Sector,22 Park Lane,Liverpool,Merseyside,L77 5UP
497,Smith Smith International,Hospitality,Enterprise,31 Market Street,Brighton,East Sussex,BN1 4NX
498,Turner Patel PLC,Construction,Enterprise,110 Business Park,Glasgow,Scotland,G75 9JJ
499,Baker Patel International,Central Government,Public Sector,175 Queens Road,Sheffield,South Yorkshire,S97 9GP
500,Walker Patel UK,Real Estate,SMB,124 Park Lane,Southampton,Hampshire,SO40 7VM
501,Academy of Leeds,Education,Enterprise,115 Commerce Way,Liverpool,Merseyside,L90 4FD
502,Wood Harris UK,Insurance,Enterprise,179 Business Park,Coventry,West Midlands,CV91 7BF
503,Davies Johnson Holdings,Legal Services,SMB,112 Station Road,Coventry,West Midlands,CV9 6JH
504,Morgan Williams LLP,Financial Services,SMB,103 The Green,Belfast,Northern Ireland,BT84 1TK
505,Morris Cooper Ltd,Hospitality,SMB,169 Technology Park,Bristol,Avon,BS67 1KG
506,Clark Thompson International,Insurance,Enterprise,173 High Street,Edinburgh,Scotland,EH47 1HX
507,Davies Edwards Services,Retail,Enterprise,172 Queens Road,Cardiff,Wales,CF52 9VG
508,Taylor Davies UK,Legal Services,SMB,186 Enterprise Road,Newcastle,Tyne and Wear,NE72 6VM
509,Thompson Morgan Solutions,Professional Services,SMB,104 The Green,Cambridge,Cambridgeshire,CB1 7JF
510,Wilson King PLC,Insurance,Enterprise,76 Victoria Road,Brighton,East Sussex,BN15 9TJ
511,Cooper Jackson International,Manufacturing,Enterprise,198 Church Road,Oxford,Oxfordshire,OX97 8LR
512,Ward Evans Partners,Legal Services,Enterprise,98 Business Park,Birmingham,West Midlands,B29 4YZ
513,Turner Clarke UK,Construction,Enterprise,3 Innovation Drive,Southampton,Hampshire,SO34 2HK
514,Harris Communications Group,MSP,Partner,122 Victoria Road,Edinburgh,Scotland,EH46 5GV
515,Wright Morris LLP,Hospitality,SMB,61 Innovation Drive,Bristol,Avon,BS31 4JG
516,White Clarke Group,Hospitality,Enterprise,31 Technology Park,Leeds,West Yorkshire,LS11 8YY
517,Lee Williams Holdings,Legal Services,SMB,159 Victoria Road,Cardiff,Wales,CF64 8VJ
518,Moore Edwards Services,Hospitality,SMB,193 The Green,Liverpool,Merseyside,L17 7BT
519,Lee Williams UK,Real Estate,SMB,101 Enterprise Road,Cardiff,Wales,CF88 2FR
520,Hill Lewis LLP,Recruitment,SMB,4 Business Park,London,Greater London,EC27 2NV
521,Patel Hughes Group,Construction,Enterprise,68 Church Road,Southampton,Hampshire,SO35 6SW
522,Walker Networks Partners,Telecommunications,Partner,108 Innovation Drive,Bristol,Avon,BS97 7MM
523,Cooper Walker International,Professional Services,SMB,148 Business Park,Glasgow,Scotland,G30 4DJ
524,Jackson Wright Group,Central Government,Public Sector,122 Commerce Way,Glasgow,Scotland,G2 8FP
525,Academy of Brighton,Education,Enterprise,185 Victoria Road,Southampton,Hampshire,SO63 9KJ
526,Wood Wilson LLP,Healthcare,Enterprise,16 Church Road,Edinburgh,Scotland,EH33 2SX
527,Kings Hospital NHS Trust,NHS Trust,Public Sector,67 Victoria Road,Nottingham,Nottinghamshire,NG47 5UU
528,Jones Turner PLC,Transport & Logistics,Enterprise,174 The Green,Cardiff,Wales,CF26 9VV
529,Green Clarke Associates,Hospitality,SMB,125 Commerce Way,Brighton,East Sussex,BN95 7RC
530,Hill Johnson Group,Professional Services,Enterprise,108 Business Park,Nottingham,Nottinghamshire,NG79 2VN
531,Roberts Harris Solutions,Financial Services,SMB,82 Business Park,Nottingham,Nottinghamshire,NG38 7ZJ
532,Cooper Patel LLP,Professional Services,SMB,134 Kings Road,Milton Keynes,Buckinghamshire,MK53 1FF
533,Academy of Liverpool,Education,Enterprise,191 Innovation Drive,Sheffield,South Yorkshire,S96 3CG
534,Wilson Communications Ltd,MSP,Partner,141 High Street,Oxford,Oxfordshire,OX4 2NT
535,Hughes Johnson PLC,Financial Services,Enterprise,80 Church Road,Belfast,Northern Ireland,BT32 3KR
536,Academy of Edinburgh,Education,Enterprise,9 Business Park,London,Greater London,EC46 8LS
537,Edwards King Holdings,Media & Entertainment,Enterprise,179 Market Street,Glasgow,Scotland,G23 8VW
538,Clark Lee Partners,Central Government,Public Sector,124 Market Street,Cardiff,Wales,CF30 5CR
539,Turner IT Solutions Ltd,Telecommunications,Partner,3 High Street,Newcastle,Tyne and Wear,NE67 5EM
540,Lee Smith LLP,Real Estate,SMB,194 Kings Road,Oxford,Oxfordshire,OX39 5AP
541,Smith King Associates,Technology,Enterprise,106 Technology Park,Bristol,Avon,BS72 4PN
542,Jackson Jackson Solutions,Retail,Enterprise,21 Queens Road,Sheffield,South Yorkshire,S81 5HT
543,Lee Edwards Services,Professional Services,Enterprise,18 Mill Lane,Bristol,Avon,BS18 8KD
544,County Hospital NHS Trust,NHS Trust,Public Sector,126 Church Road,Coventry,West Midlands,CV42 1AE
